PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Family_Count,Embarked_Q,Embarked_S
1,0,1,1,22.0,1,0,A/5 21171,7.25,1,0,1
2,1,3,0,38.0,1,0,PC 17599,71.2833,1,0,0
3,1,1,0,26.0,0,0,STON/O2. 3101282,7.925,0,0,1
4,1,3,0,35.0,1,0,113803,53.1,1,0,1
5,0,1,1,35.0,0,0,373450,8.05,0,0,1
6,0,1,1,29.69911764705882,0,0,330877,8.4583,0,1,0
7,0,3,1,54.0,0,0,17463,51.8625,0,0,1
8,0,1,1,2.0,3,1,349909,21.075,4,0,1
9,1,1,0,27.0,0,2,347742,11.1333,2,0,1
10,1,2,0,14.0,1,0,237736,30.0708,1,0,0
11,1,1,0,4.0,1,1,PP 9549,16.7,2,0,1
12,1,3,0,58.0,0,0,113783,26.55,0,0,1
13,0,1,1,20.0,0,0,A/5. 2151,8.05,0,0,1
14,0,1,1,39.0,1,5,347082,31.275,6,0,1
15,0,1,0,14.0,0,0,350406,7.8542,0,0,1
16,1,2,0,55.0,0,0,248706,16.0,0,0,1
17,0,1,1,2.0,4,1,382652,29.125,5,1,0
18,1,2,1,29.69911764705882,0,0,244373,13.0,0,0,1
19,0,1,0,31.0,1,0,345763,18.0,1,0,1
20,1,1,0,29.69911764705882,0,0,2649,7.225,0,0,0
21,0,2,1,35.0,0,0,239865,26.0,0,0,1
22,1,2,1,34.0,0,0,248698,13.0,0,0,1
23,1,1,0,15.0,0,0,330923,8.0292,0,1,0
24,1,3,1,28.0,0,0,113788,35.5,0,0,1
25,0,1,0,8.0,3,1,349909,21.075,4,0,1
26,1,1,0,38.0,1,5,347077,31.3875,6,0,1
27,0,1,1,29.69911764705882,0,0,2631,7.225,0,0,0
28,0,3,1,19.0,3,2,19950,263.0,5,0,1
29,1,1,0,29.69911764705882,0,0,330959,7.8792,0,1,0
30,0,1,1,29.69911764705882,0,0,349216,7.8958,0,0,1
31,0,3,1,40.0,0,0,PC 17601,27.7208,0,0,0
32,1,3,0,29.69911764705882,1,0,PC 17569,146.5208,1,0,0
33,1,1,0,29.69911764705882,0,0,335677,7.75,0,1,0
34,0,2,1,66.0,0,0,C.A. 24579,10.5,0,0,1
35,0,3,1,28.0,1,0,PC 17604,82.1708,1,0,0
36,0,3,1,42.0,1,0,113789,52.0,1,0,1
37,1,1,1,29.69911764705882,0,0,2677,7.2292,0,0,0
38,0,1,1,21.0,0,0,A./5. 2152,8.05,0,0,1
39,0,1,0,18.0,2,0,345764,18.0,2,0,1
40,1,1,0,14.0,1,0,2651,11.2417,1,0,0
